Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Latitude;Longitude;Resultado;Semana;Lat_lng
Janeiro;;Montes Claros;3143302;2024;521;226;Montes Claros_521;-16,76793;-43,86687;Positiva;3;-16.76793,-43.86687
Janeiro;;Montes Claros;3143302;2024;522;103;Montes Claros_522;-16,76794;-43,86397;Positiva;3;-16.76794,-43.86397
Janeiro;;Montes Claros;3143302;2024;523;13;Montes Claros_523;-16,76840;-43,86098;Positiva;3;-16.76840,-43.86098
Janeiro;;Montes Claros;3143302;2024;524;49;Montes Claros_524;-16,76818;-43,85793;Positiva;3;-16.76818,-43.85793
Janeiro;;Montes Claros;3143302;2024;525;14;Montes Claros_525;-16,76796;-43,85490;Positiva;3;-16.76796,-43.85490
Janeiro;;Montes Claros;3143302;2024;526;73;Montes Claros_526;-16,76847;-43,85121;Positiva;3;-16.76847,-43.85121
Janeiro;;Montes Claros;3143302;2024;527;101;Montes Claros_527;-16,76875;-43,84866;Positiva;3;-16.76875,-43.84866
Janeiro;;Montes Claros;3143302;2024;528;118;Montes Claros_528;-16,76856;-43,84554;Positiva;3;-16.76856,-43.84554
Janeiro;;Montes Claros;3143302;2024;529;0;Montes Claros_529;-16,77175;-43,86708;Negativa;3;-16.77175,-43.86708
Janeiro;;Montes Claros;3143302;2024;530;28;Montes Claros_530;-16,77192;-43,85653;Positiva;3;-16.77192,-43.85653
Janeiro;;Montes Claros;3143302;2024;531;0;Montes Claros_531;-16,77160;-43,84831;Negativa;3;-16.77160,-43.84831
Janeiro;;Montes Claros;3143302;2024;532;0;Montes Claros_532;-16,77116;-43,84552;Negativa;3;-16.77116,-43.84552
Janeiro;;Montes Claros;3143302;2024;533;0;Montes Claros_533;-16,77449;-43,86692;Negativa;3;-16.77449,-43.86692
Janeiro;;Montes Claros;3143302;2024;534;41;Montes Claros_534;-16,77460;-43,85511;Positiva;3;-16.77460,-43.85511
Janeiro;;Montes Claros;3143302;2024;535;125;Montes Claros_535;-16,77378;-43,85209;Positiva;3;-16.77378,-43.85209
Janeiro;;Montes Claros;3143302;2024;536;19;Montes Claros_536;-16,77406;-43,84897;Positiva;3;-16.77406,-43.84897
Janeiro;;Montes Claros;3143302;2024;537;0;Montes Claros_537;-16,77727;-43,86746;Negativa;3;-16.77727,-43.86746
Janeiro;;Montes Claros;3143302;2024;538;0;Montes Claros_538;-16,77961;-43,86756;Negativa;3;-16.77961,-43.86756
Janeiro;;Montes Claros;3143302;2024;111;0;Montes Claros_111;-16,70255;-43,86985;Negativa;3;-16.70255,-43.86985
Janeiro;;Montes Claros;3143302;2024;112;147;Montes Claros_112;-16,70231;-43,86077;Positiva;3;-16.70231,-43.86077
Janeiro;;Montes Claros;3143302;2024;121;427;Montes Claros_121;-16,70525;-43,87965;Positiva;3;-16.70525,-43.87965
Janeiro;;Montes Claros;3143302;2024;122;0;Montes Claros_122;-16,70540;-43,87607;Negativa;3;-16.70540,-43.87607
Janeiro;;Montes Claros;3143302;2024;123;0;Montes Claros_123;-16,70622;-43,87278;Negativa;3;-16.70622,-43.87278
